history,scale,rep,audit_cost,conditional_risk,false_conditional_claim,interval_miss
100,1e-05,0,64,-0,0,0
100,1e-05,1,64,-0,0,0
100,1e-05,2,64,-0,0,0
100,1e-05,3,64,-0,0,0
100,1e-05,4,64,-0,0,0
100,1e-05,5,64,-0,0,0
100,1e-05,6,64,-0,0,0
100,1e-05,7,64,-0,0,0
100,1e-05,8,64,-0,0,0
100,1e-05,9,64,-0,0,0
100,1e-05,10,64,-0,0,0
100,1e-05,11,64,-0,0,0
100,1e-05,12,64,-0,0,0
100,1e-05,13,64,-0,0,0
100,1e-05,14,64,-0,0,0
100,1e-05,15,64,-0,0,0
100,1e-05,16,64,-0,0,0
100,1e-05,17,64,-0,0,0
100,1e-05,18,64,-0,0,0
100,1e-05,19,64,-0,0,0
100,1e-05,20,64,-0,0,0
100,1e-05,21,64,-0,0,0
100,1e-05,22,64,-0,0,0
100,1e-05,23,64,-0,0,0
100,1e-05,24,64,-0,0,0
100,1e-05,25,64,-0,0,0
100,1e-05,26,64,-0,0,0
100,1e-05,27,64,-0,0,0
100,1e-05,28,64,-0,0,0
100,1e-05,29,64,-0,0,0
100,1e-05,30,64,-0,0,0
100,1e-05,31,64,-0,0,0
100,1e-05,32,64,-0,0,0
100,1e-05,33,64,-0,0,0
100,1e-05,34,64,-0,0,0
100,1e-05,35,64,-0,0,0
100,1e-05,36,64,-0,0,0
100,1e-05,37,64,-0,0,0
100,1e-05,38,64,-0,0,0
100,1e-05,39,64,-0,0,0
100,1e-05,40,64,-0,0,0
100,1e-05,41,64,-0,0,0
100,1e-05,42,64,-0,0,0
100,1e-05,43,64,-0,0,0
100,1e-05,44,64,-0,0,0
100,1e-05,45,64,-0,0,0
100,1e-05,46,64,-0,0,0
100,1e-05,47,64,-0,0,0
100,1e-05,48,64,-0,0,0
100,1e-05,49,64,-0,0,0
100,1e-05,50,64,-0,0,0
100,1e-05,51,64,-0,0,0
100,1e-05,52,64,-0,0,0
100,1e-05,53,64,-0,0,0
100,1e-05,54,64,-0,0,0
100,1e-05,55,64,-0,0,0
100,1e-05,56,64,-0,0,0
100,1e-05,57,64,-0,0,0
100,1e-05,58,64,-0,0,0
100,1e-05,59,64,-0,0,0
100,1e-05,60,64,-0,0,0
100,1e-05,61,64,-0,0,0
100,1e-05,62,64,-0,0,0
100,1e-05,63,64,-0,0,0
100,1e-05,64,64,-0,0,0
100,1e-05,65,64,-0,0,0
100,1e-05,66,64,-0,0,0
100,1e-05,67,64,-0,0,0
100,1e-05,68,64,-0,0,0
100,1e-05,69,64,-0,0,0
100,1e-05,70,64,-0,0,0
100,1e-05,71,64,-0,0,0
100,1e-05,72,64,-0,0,0
100,1e-05,73,64,-0,0,0
100,1e-05,74,64,-0,0,0
100,1e-05,75,64,-0,0,0
100,1e-05,76,64,-0,0,0
100,1e-05,77,64,-0,0,0
100,1e-05,78,64,-0,0,0
100,1e-05,79,64,-0,0,0
100,1e-05,80,64,-0,0,0
100,1e-05,81,64,-0,0,0
100,1e-05,82,64,-0,0,0
100,1e-05,83,64,-0,0,0
100,1e-05,84,64,-0,0,0
100,1e-05,85,64,-0,0,0
100,1e-05,86,64,-0,0,0
100,1e-05,87,64,-0,0,0
100,1e-05,88,64,-0,0,0
100,1e-05,89,64,-0,0,0
100,1e-05,90,64,-0,0,0
100,1e-05,91,64,-0,0,0
100,1e-05,92,64,-0,0,0
100,1e-05,93,64,-0,0,0
100,1e-05,94,64,-0,0,0
100,1e-05,95,64,-0,0,0
100,1e-05,96,64,-0,0,0
100,1e-05,97,64,-0,0,0
100,1e-05,98,64,-0,0,0
100,1e-05,99,64,-0,0,0
100,1e-05,100,64,-0,0,0
100,1e-05,101,64,-0,0,0
100,1e-05,102,64,-0,0,0
100,1e-05,103,64,-0,0,0
100,1e-05,104,64,-0,0,0
100,1e-05,105,64,-0,0,0
100,1e-05,106,64,-0,0,0
100,1e-05,107,64,-0,0,0
100,1e-05,108,64,-0,0,0
100,1e-05,109,64,-0,0,0
100,1e-05,110,64,-0,0,0
100,1e-05,111,64,-0,0,0
100,1e-05,112,64,-0,0,0
100,1e-05,113,64,-0,0,0
100,1e-05,114,64,-0,0,0
100,1e-05,115,64,-0,0,0
100,1e-05,116,64,-0,0,0
100,1e-05,117,64,-0,0,0
100,1e-05,118,64,-0,0,0
100,1e-05,119,64,-0,0,0
100,1e-05,120,64,-0,0,0
100,1e-05,121,64,-0,0,0
100,1e-05,122,64,-0,0,0
100,1e-05,123,64,-0,0,0
100,1e-05,124,64,-0,0,0
100,1e-05,125,64,-0,0,0
100,1e-05,126,64,-0,0,0
100,1e-05,127,64,-0,0,0
100,1e-05,128,64,-0,0,0
100,1e-05,129,64,-0,0,0
100,1e-05,130,64,-0,0,0
100,1e-05,131,64,-0,0,0
100,1e-05,132,64,-0,0,0
100,1e-05,133,64,-0,0,0
100,1e-05,134,64,-0,0,0
100,1e-05,135,64,-0,0,0
100,1e-05,136,64,-0,0,0
100,1e-05,137,64,-0,0,0
100,1e-05,138,64,-0,0,0
100,1e-05,139,64,-0,0,0
100,1e-05,140,64,-0,0,0
100,1e-05,141,64,-0,0,0
100,1e-05,142,64,-0,0,0
100,1e-05,143,64,-0,0,0
100,1e-05,144,64,-0,0,0
100,1e-05,145,64,-0,0,0
100,1e-05,146,64,-0,0,0
100,1e-05,147,64,-0,0,0
100,1e-05,148,64,-0,0,0
100,1e-05,149,64,-0,0,0
100,1e-05,150,64,-0,0,0
100,1e-05,151,64,-0,0,0
100,1e-05,152,64,-0,0,0
100,1e-05,153,64,-0,0,0
100,1e-05,154,64,-0,0,0
100,1e-05,155,64,-0,0,0
100,1e-05,156,64,-0,0,0
100,1e-05,157,64,-0,0,0
100,1e-05,158,64,-0,0,0
100,1e-05,159,64,-0,0,0
100,1e-05,160,64,-0,0,0
100,1e-05,161,64,-0,0,0
100,1e-05,162,64,-0,0,0
100,1e-05,163,64,-0,0,0
100,1e-05,164,64,-0,0,0
100,1e-05,165,64,-0,0,0
100,1e-05,166,64,-0,0,0
100,1e-05,167,64,-0,0,0
100,1e-05,168,64,-0,0,0
100,1e-05,169,64,-0,0,0
100,1e-05,170,64,-0,0,0
100,1e-05,171,64,-0,0,0
100,1e-05,172,64,-0,0,0
100,1e-05,173,64,-0,0,0
100,1e-05,174,64,-0,0,0
100,1e-05,175,64,-0,0,0
100,1e-05,176,64,-0,0,0
100,1e-05,177,64,-0,0,0
100,1e-05,178,64,-0,0,0
100,1e-05,179,64,-0,0,0
100,1e-05,180,64,-0,0,0
100,1e-05,181,64,-0,0,0
100,1e-05,182,64,-0,0,0
100,1e-05,183,64,-0,0,0
100,1e-05,184,64,-0,0,0
100,1e-05,185,64,-0,0,0
100,1e-05,186,64,-0,0,0
100,1e-05,187,64,-0,0,0
100,1e-05,188,64,-0,0,0
100,1e-05,189,64,-0,0,0
100,1e-05,190,64,-0,0,0
100,1e-05,191,64,-0,0,0
100,1e-05,192,64,-0,0,0
100,1e-05,193,64,-0,0,0
100,1e-05,194,64,-0,0,0
100,1e-05,195,64,-0,0,0
100,1e-05,196,64,-0,0,0
100,1e-05,197,64,-0,0,0
100,1e-05,198,64,-0,0,0
100,1e-05,199,64,-0,0,0
100,0.0005,0,64,-0,0,0
100,0.0005,1,64,-0,0,0
100,0.0005,2,64,-0,0,0
100,0.0005,3,64,-0,0,0
100,0.0005,4,64,-0,0,0
100,0.0005,5,64,-0,0,0
100,0.0005,6,64,-0,0,0
100,0.0005,7,64,-0,0,0
100,0.0005,8,64,-0,0,0
100,0.0005,9,64,-0,0,0
100,0.0005,10,64,-0,0,0
100,0.0005,11,64,-0,0,0
100,0.0005,12,64,-0,0,0
100,0.0005,13,64,-0,0,0
100,0.0005,14,64,-0,0,0
100,0.0005,15,64,-0,0,0
100,0.0005,16,64,-0,0,0
100,0.0005,17,64,-0,0,0
100,0.0005,18,64,-0,0,0
100,0.0005,19,64,-0,0,0
100,0.0005,20,64,-0,0,0
100,0.0005,21,64,-0,0,0
100,0.0005,22,64,-0,0,0
100,0.0005,23,64,-0,0,0
100,0.0005,24,64,-0,0,0
100,0.0005,25,64,-0,0,0
100,0.0005,26,64,-0,0,0
100,0.0005,27,64,-0,0,0
100,0.0005,28,64,-0,0,0
100,0.0005,29,64,-0,0,0
100,0.0005,30,64,-0,0,0
100,0.0005,31,64,-0,0,0
100,0.0005,32,64,-0,0,0
100,0.0005,33,64,-0,0,0
100,0.0005,34,64,-0,0,0
100,0.0005,35,64,-0,0,0
100,0.0005,36,64,-0,0,0
100,0.0005,37,64,-0,0,0
100,0.0005,38,64,-0,0,0
100,0.0005,39,64,-0,0,0
100,0.0005,40,64,-0,0,0
100,0.0005,41,64,-0,0,0
100,0.0005,42,64,-0,0,0
100,0.0005,43,64,-0,0,0
100,0.0005,44,64,-0,0,0
100,0.0005,45,64,-0,0,0
100,0.0005,46,64,-0,0,0
100,0.0005,47,64,-0,0,0
100,0.0005,48,64,-0,0,0
100,0.0005,49,64,-0,0,0
